-06.76    23 37 11.7  -06 11.7       3.1   1    80.9  -62.8 a
-05.01     0  3 27.0  -05 57.9       2.5   1    94.1  -66.0 a
-05.02     0 41 37.5  -05 28.4       2.4   2   118.1  -68.0 b
-05.03     0 44 12.3  -05 32.3       2.9   2   119.8  -68.1 b
-05.04     1  9 40.4  -05  9.7       2.6   1   136.4  -67.2 a
-05.05     1 32 54.2  -05 25.3       3.0   1   150.4  -65.7 a
-05.06     1 35 29.1  -05 42.1       2.2   1   152.1  -65.6 a
-05.07     1 44 14.9  -05 54.2       6.6   1   156.9  -64.8 a
-05.08     1 53 31.9  -05 14.3       2.3   1   160.6  -63.0 a
-05.09     2  3 34.3  -05  9.8       3.8   2   164.9  -61.6 b
-05.10     2  5 26.5  -05 42.2       2.3   1   166.4  -61.7 a
-05.11     2 16 57.7  -05 46.7       2.8   1   171.0  -59.9 a
-05.12     2 42 26.0  -05 48.9       2.2   2   179.5  -55.5 b
-05.13     2 57 13.2  -05 32.7       2.2   2   183.2  -52.5 b
-05.14     3 32  9.7  -05 42.1       6.2   1   191.3  -45.6 a
-05.15     3 51 35.8  -05 28.7       4.2   1   194.7  -41.4 a
-05.16     4  5 24.9  -05 54.3       3.4   1   197.5  -38.7 a
-05.17     4 14 48.7  -05 58.4       8.0   1   199.1  -36.7 a
-05.18     4 18 24.6  -05 40.9       5.0   1   199.3  -35.8 a
-05.19     4 33 10.3  -05 43.5       2.4  22   201.5  -32.6 bl
-05.20     4 45 52.8  -05 41.4       2.1   2   203.3  -29.8 b
-05.21     5 33  3.5  -05 10.3      10.6   1   208.8  -19.2 a   3C145
-05.22     6 14 55.3  -05 22.4       2.0   2   213.9  -10.0 b
-05.23     6 24 42.3  -05 48.0      78.   15   215.4  -08.0 a   3C161*
-05.24     6 45 50.0  -05 35.8       5.2  22   217.6  -03.3 bl
-05.25     7  1 31.0  -05  2.9       2.3   1   218.9  +00.4 a
-05.26     7  3 39.0  -05 14.7       2.4   1   219.3  +00.8 a
-05.27     7 31 52.3  -05 26.8       4.1   1   222.8  +06.9 a
-05.28     8  5 39.1  -05  8.7       3.1   1   226.7  +14.4 a
-05.29     8  9 35.1  -05 23.8      10.0   2   227.5  +15.1 b
-05.30     8 19 17.5  -05 44.7       2.2  21   229.1  +17.0 be
-05.31     8 24 30.4  -05 58.9       2.3   1   230.0  +18.0 a
-05.32     8 30 13.2  -05 19.1       7.0   1   230.2  +19.6 a
-05.33     8 32 12.3  -05 28.9       5.7  22   230.6  +19.9 bl
-05.34     8 46 58.1  -05 14.3       2.7   1   232.5  +23.2 a
-05.35     9 14 12.1  -05  6.9       2.7   1   236.6  +28.8 a
-05.36     9 16 44.0  -05  4.8       2.5   1   237.0  +29.4 a
-05.37     9 24 29.1  -05 52.6       2.0   2   239.0  +30.5 b
-05.38     9 44 56.6  -05 23.0       2.1   1   242.3  +34.8 a
-05.39     9 49  9.8  -05 41.7       2.8  22   243.4  +35.4 bl
-05.40     9 57  1.7  -05 28.8       4.9   2   244.7  +37.0 b
-05.41    10 18 47.9  -05 12.8       2.2   1   249.2  +41.2 a
-05.42    10 26 56.6  -05 27.1       3.7   1   251.3  +42.5 a
-05.43    10 27 59.0  -05 50.0       2.0  22   251.9  +42.4 bl
-05.44    10 35 37.0  -05 43.7       3.8   1   253.7  +43.8 a
-05.45    10 44 51.2  -05 57.6       2.0  21   256.4  +45.1 be
-05.46    11  4 44.4  -05  1.7       5.0   1   261.2  +48.9 a
-05.47    11 16 45.4  -05  9.0       4.5   1   265.1  +50.6 a
-05.48    11 59  5.0  -05 55.9       3.9   1   281.2  +54.6 a
-05.49    12  1 42.2  -05 49.8       2.0   2   282.3  +54.9 b
-05.50    12 20  8.0  -05 57.3       2.2   1   290.1  +55.9 a
-05.51    12 34 49.1  -05  1.2       2.1   1   296.4  +57.4 a
-05.52    12 40  0.4  -05 58.8       4.6   2   298.9  +56.5 b
-05.53    12 46 15.5  -05 54.9       4.1   1   301.8  +56.7 a
-05.54    12 51  5.2  -05 25.1       3.0   2   304.0  +57.2 b
-05.55    12 53 34.5  -05 28.6      20.9   1   305.1  +57.1 a   3C279
-05.56    13  6  6.3  -05  7.3       3.7  21   310.9  +57.2 be
-05.57    13 19 20.0  -05 56.9       3.6   1   316.5  +55.9 a
-05.58    13 33 41.5  -05 14.0       3.4   2   323.0  +55.6 b
-05.59    13 49  5.4  -05 22.4       4.7   1   329.1  +54.2 a
-05.60    14 11  9.8  -05 41.7       9.3   1   337.0  +51.4 a
-05.61    14 52 30.8  -05 27.4       7.7   1   349.9  +45.6 a
-05.62    14 54  1.7  -05 58.3       5.7   2   349.9  +45.0 b
-05.63    15  4 12.8  -05 52.0       2.6   1   352.6  +43.4 a
-05.64    15  8 14.0  -05 27.9      10.5   1   354.0  +43.0 a
-05.65    15 12 54.4  -05 15.8       5.9   1   355.3  +42.3 a
-05.66    15 30 20.2  -05 40.7       2.2   2   358.8  +38.9 b
-05.67    15 35 25.8  -05 25.2       2.2   1     0.2  +38.1 a
-05.68    15 37 50.5  -05  1.4       5.0   1     1.1  +37.9 a
-05.69    15 42 33.8  -05 11.3       2.7   2     1.9  +36.9 b
-05.70    16 56 27.2  -05 36.6       2.4  21    14.0  +21.8 be
-05.71    17 33 31.4  -05 13.5       2.0   1    19.3  +14.1 a
-05.72    17 41 38.5  -05  8.7       2.1   1    20.4  +12.4 a
-05.73    17 53 51.3  -05 14.2       2.3   1    21.9  +09.7 a
-05.74    17 55 54.7  -05 40.6       2.2   2    21.7  +09.1 b
-05.75    18 13  2.7  -05 30.0       2.2  22    23.9  +05.4 bl
-05.76    18 37  6.2  -05 45.4       2.9  22    26.5  -00.0 bl
-05.77    18 48 12.4  -05 42.4       2.1   2    27.8  -02.4 b
-05.78    19  7 28.4  -05 37.1       2.3   1    30.1  -06.7 a
-05.79    19  9 15.2  -05 43.6       5.0   2    30.2  -07.1 b
-05.80    19 17 34.8  -05 55.1       2.8   1    31.0  -09.0 a
-05.81    19 38 42.6  -05 33.5       2.0   2    33.7  -13.6 b
-05.82    19 42 37.5  -05 20.3       5.1   1    34.4  -14.3 a
-05.83    20 18 23.1  -05 34.5       2.1   1    38.5  -22.4 a
-05.84    20 21 56.5  -05 26.6       5.2   1    39.0  -23.1 a
-05.85    20 39 13.0  -05 49.8       4.1   1    40.8  -27.1 a
-05.86    21  2  0.5  -05 16.7       2.1   1    44.5  -31.8 a
-05.87    21 15 46.5  -05 26.7       3.2   1    46.4  -34.9 a
-05.88    21 26  8.8  -05 43.3       3.2   2    47.7  -37.2 b
-05.89    21 45 55.1  -05 12.0       2.3  21    51.5  -41.2 be
-05.90    21 48 57.7  -05 44.7       2.0   2    51.5  -42.1 b
-05.91    22  6  9.0  -05 42.7       2.0   1    54.7  -45.7 a
-05.92    22 23 12.0  -05  9.2      17.3   1    59.0  -48.8 a   3C446
-05.93    22 25 50.6  -05 30.6       3.2   2    59.2  -49.6 b
-05.94    23  1 40.2  -05 28.0       5.1  22    68.8  -56.4 bl
-05.95    23  3 40.6  -05 13.7       4.1  21    69.7  -56.5 be
-05.96    23 22 44.9  -05 12.3       8.5   1    76.4  -59.8 a   *
-05.97    23 25 37.4  -05 12.0       8.3   1    77.5  -60.2 a
-05.98    23 27 27.7  -05 42.9       2.6   2    77.5  -60.9 b
-04.01     0 16 59.1  -04 52.2       4.2   1   102.9  -66.2 a
-04.02     0 18 34.2  -04 37.1       2.6  21   104.0  -66.1 be
-04.03     1 14 13.5  -04 37.9       2.0   2   138.9  -66.5 b
-04.04     1 19 56.9  -04 36.1       5.0   1   142.3  -66.0 a
